epoch,accuracy,loss,val_accuracy,val_loss
0,0.6628840565681458,0.9765554666519165,0.639769434928894,0.9270942807197571
1,0.797121524810791,0.5681139230728149,0.6945244669914246,0.8650716543197632
2,0.8427899479866028,0.4200866222381592,0.6974063515663147,0.8089050650596619
3,0.8798782229423523,0.32878053188323975,0.6829971075057983,0.8475753664970398
4,0.9081096053123474,0.2649274170398712,0.6858789920806885,0.887873113155365
5,0.9269305467605591,0.21758195757865906,0.6858789920806885,0.928482174873352
6,0.9443675875663757,0.1821896731853485,0.6743515729904175,1.0075348615646362
7,0.951287031173706,0.15427400171756744,0.6772334575653076,1.0862789154052734
8,0.9615278244018555,0.13553445041179657,0.6685879230499268,1.1420247554779053
9,0.9623581767082214,0.1224760189652443,0.6628242135047913,1.1511931419372559
10,0.9673401713371277,0.10676489770412445,0.6599423885345459,1.2168487310409546
11,0.9656794667243958,0.10467594861984253,0.680115282535553,1.2609368562698364
12,0.9701079726219177,0.09382946044206619,0.6628242135047913,1.2915304899215698
13,0.971491813659668,0.08368609100580215,0.6599423885345459,1.3224821090698242
14,0.9739828109741211,0.08463054150342941,0.6628242135047913,1.3481109142303467
15,0.9753667116165161,0.07827738672494888,0.6743515729904175,1.3756766319274902
16,0.9753667116165161,0.07910110801458359,0.6599423885345459,1.3865374326705933
17,0.9759202599525452,0.07490638643503189,0.6599423885345459,1.4421311616897583
18,0.9773041605949402,0.06593756377696991,0.6628242135047913,1.4599134922027588
19,0.9761970639228821,0.06608645617961884,0.6628242135047913,1.5054165124893188
20,0.9767506122589111,0.06476850062608719,0.6570605039596558,1.4987889528274536
21,0.9761970639228821,0.06538441777229309,0.6484149694442749,1.552512764930725
22,0.9789648652076721,0.06254804134368896,0.6570605039596558,1.5405198335647583
23,0.9781345129013062,0.06008080393075943,0.6599423885345459,1.5734474658966064
24,0.9778577089309692,0.05786291882395744,0.6628242135047913,1.583362102508545
